wavenumber,intensity
104.325796,0.233355
104.522541,0.224539
104.692705,0.217206
105.248386,0.195166
105.502764,0.186046
105.520228,0.185442
105.900685,0.172977
105.999678,0.169947
106.328528,0.160498
106.352823,0.159837
106.549568,0.154662
107.232318,0.139083
107.275413,0.138216
107.547255,0.133047
107.927712,0.126629
107.964352,0.126058
108.026705,0.125106
108.37985,0.120129
108.576595,0.117648
108.961871,0.113341
109.30244,0.110087
109.574282,0.107823
109.600175,0.107622
109.954739,0.1051
110.053732,0.104469
110.406877,0.102456
110.603622,0.101483
110.691425,0.101081
111.235999,0.098982
111.329467,0.098685
111.601309,0.097913
111.981766,0.097046
112.080759,0.096858
112.420978,0.096317
112.433904,0.0963
112.630649,0.09606
112.871822,0.095831
113.356494,0.095563
113.628336,0.095516
114.008794,0.095561
114.107786,0.095592
114.150532,0.095609
114.460931,0.095768
114.507646,0.095799
114.657676,0.095907
115.383521,0.096653
115.655363,0.097021
115.880085,0.09736
116.035821,0.097613
116.134814,0.097782
116.143469,0.097797
116.487958,0.098429
116.684703,0.098821
117.410548,0.100456
117.609639,0.100956
117.68239,0.101145
117.779293,0.1014
118.062848,0.102177
118.161841,0.102458
118.514985,0.103507
118.71173,0.104122
119.339192,0.106227
119.415116,0.106497
119.437575,0.106578
119.709417,0.107575
120.089875,0.109043
120.188868,0.109439
120.542012,0.110899
120.738757,0.111745
121.05094,0.113138
121.068746,0.113219
121.464602,0.115079
121.736444,0.116415
122.116902,0.118368
122.215895,0.118892
122.569039,0.12082
122.765784,0.121933
122.798299,0.12212
123.241719,0.124745
123.491629,0.126291
123.763471,0.12803
124.143929,0.130566
124.242922,0.131246
124.527853,0.133251
124.596066,0.133742
124.792811,0.135182
125.518656,0.140812
125.790498,0.143057
126.170956,0.146332
126.257406,0.147098
126.269949,0.14721
126.623094,0.150434
126.819838,0.152295
127.545683,0.159581
127.817525,0.162491
127.98696,0.164358
128.197983,0.166742
128.296976,0.167883
128.4149,0.169263
128.650121,0.17208
128.846865,0.174505
129.57271,0.184034
129.844552,0.187854
130.22501,0.193452
130.324003,0.194958
130.441927,0.196781
130.677148,0.20051
130.873892,0.203729
131.599737,0.216451
131.871579,0.22159
132.252037,0.229161
132.35103,0.231208
132.468954,0.23369
132.704175,0.238788
132.900919,0.24321
133.626764,0.260912
133.898606,0.268173
134.279064,0.279004
134.378057,0.28196
134.495981,0.285562
134.731202,0.293021
134.927946,0.299559
135.653791,0.326412
135.925634,0.337761
136.306091,0.355062
136.405084,0.359864
136.523008,0.365759
136.758229,0.378126
136.954974,0.389141
137.680818,0.436001
137.952661,0.456525
138.333118,0.488528
138.432111,0.497547
138.550035,0.508696
138.785256,0.532325
138.982001,0.553616
139.707845,0.646084
139.979688,0.68721
140.360145,0.751696
140.459138,0.769908
140.577062,0.792423
140.812283,0.840119
141.009028,0.883014
141.32494,0.958001
141.734872,1.067426
142.006715,1.148129
142.387172,1.272771
142.486165,1.307539
142.604089,1.350257
142.83931,1.439775
143.036055,1.519163
143.351967,1.655459
143.761899,1.848897
144.033742,1.987633
144.414199,2.19578
144.513192,2.25258
144.631116,2.321642
144.866337,2.463857
145.063082,2.58724
145.378994,2.793355
145.788926,3.074169
146.060769,3.267548
146.441226,3.54566
146.540219,3.619105
146.658143,3.707009
146.893364,3.883227
147.090109,4.030884
147.406021,4.266648
147.815954,4.5654
148.087796,4.75545
148.468253,5.004918
148.567246,5.065842
148.68517,5.135902
148.920391,5.266575
149.117136,5.365467
149.433048,5.501628
149.842981,5.631027
150.114823,5.684236
150.49528,5.712125
150.594273,5.710289
150.712197,5.703196
150.947418,5.673279
151.144163,5.632484
151.460075,5.538389
151.870008,5.368412
152.14185,5.229693
152.522307,5.006863
152.6213,4.944258
152.739224,4.867553
152.974445,4.708526
153.17119,4.570407
153.487102,4.3415
153.897035,4.036718
154.052148,3.920464
154.168877,3.832982
154.549334,3.549567
154.648327,3.476607
154.766251,3.390289
155.001472,3.220416
155.198217,3.081107
155.514129,2.863655
155.924062,2.594672
156.195904,2.425421
156.576361,2.201682
156.675354,2.146064
156.793278,2.081235
157.028499,1.956592
157.225244,1.857139
157.541156,1.706595
157.951089,1.52786
158.222931,1.419438
158.603388,1.280717
158.702381,1.24703
158.820305,1.208159
159.055526,1.134603
159.252271,1.077014
159.568183,0.991672
159.978116,0.893155
160.249958,0.834838
160.630415,0.761756
160.729408,0.744258
160.847332,0.724184
161.082553,0.686528
161.279298,0.657331
161.59521,0.614483
162.005143,0.565542
162.276985,0.536763
162.657442,0.500791
162.756435,0.492178
162.874359,0.48229
163.10958,0.463704
163.306325,0.449238
163.622237,0.427871
164.03217,0.403157
164.304012,0.388402
164.684469,0.369639
164.783462,0.365083
164.901386,0.359816
165.333352,0.341896
165.649264,0.330007
166.059197,0.315898
166.331039,0.307264
166.711496,0.296031
166.810489,0.293257
166.928414,0.290027
167.360379,0.278845
167.676291,0.271255
168.086224,0.262067
168.358066,0.256348
168.738523,0.2488
168.837516,0.246918
168.955441,0.244718
169.387406,0.237029
169.703318,0.231752
170.113251,0.225305
170.385093,0.221263
170.76555,0.215897
170.864543,0.214555
170.982468,0.212983
171.414433,0.207472
171.730345,0.203675
172.140278,0.199025
172.41212,0.196104
172.792577,0.192223
172.89157,0.191251
173.009495,0.190114
173.44146,0.186125
173.757372,0.183378
174.167305,0.180018
174.819604,0.175117
174.918597,0.174419
175.036522,0.173603
175.784399,0.168791
176.194332,0.166409
176.846631,0.162969
176.945624,0.162483
177.063549,0.161916
177.811426,0.158614
178.221359,0.157012
178.71788,0.155259
178.873658,0.15475
178.972651,0.154437
179.090576,0.154074
179.838454,0.15202
180.248386,0.151072
180.744907,0.150087
180.900685,0.149814
180.999678,0.14965
181.117603,0.149463
181.865481,0.148502
182.275413,0.148137
182.70056,0.147878
182.771934,0.147847
182.927712,0.14779
183.026705,0.147762
183.14463,0.147737
183.892508,0.147796
184.30244,0.147987
184.727587,0.148303
184.798961,0.148368
184.862578,0.148428
184.954739,0.148521
185.053732,0.148627
185.171657,0.148763
185.919535,0.149842
186.754614,0.151508
186.825988,0.151674
186.981766,0.152049
187.080759,0.152296
187.198684,0.1526
187.946562,0.154771
188.781641,0.157713
188.853015,0.157991
189.008794,0.158613
189.107786,0.159018
189.225711,0.159512
189.973589,0.162931
190.808668,0.167365
190.880042,0.167776
191.035821,0.168691
191.134814,0.169286
191.252738,0.170007
192.000616,0.174938
192.835695,0.181216
192.907069,0.181793
193.062848,0.183077
193.161841,0.183909
193.279765,0.184918
194.027643,0.191775
194.862722,0.200451
194.934096,0.201247
195.089875,0.203016
195.188868,0.204162
195.306792,0.205551
196.05467,0.214992
196.889749,0.226957
196.961123,0.228056
197.116902,0.230502
197.215895,0.232089
197.333819,0.234013
198.081697,0.247152
198.916776,0.264002
198.98815,0.265565
199.143929,0.269049
199.242922,0.271317
199.360846,0.274076
200.108724,0.29317
200.943803,0.318435
201.015177,0.320828
201.170956,0.326197
201.269949,0.329716
201.387873,0.334024
202.135751,0.364661
202.97083,0.407452
203.042204,0.411634
203.197983,0.421093
203.296976,0.427352
203.4149,0.435071
204.162778,0.491667
204.997857,0.574534
205.069231,0.582802
205.22501,0.601584
205.324003,0.614066
205.441927,0.629514
206.189805,0.74385
207.024884,0.91155
207.096258,0.928172
207.252037,0.96582
207.35103,0.990747
207.468954,1.021486
208.216832,1.244764
209.051911,1.557889
209.123285,1.58801
209.279064,1.655647
209.378057,1.699988
209.495981,1.754197
210.243859,2.133218
211.078938,2.626054
211.150312,2.671326
211.306091,2.771703
211.405084,2.836566
211.523008,2.914869
212.270886,3.43324
213.105965,4.034795
213.177339,4.085993
213.333118,4.197035
213.432111,4.266955
213.550035,4.349418
214.297913,4.838816
215.132992,5.266788
215.204366,5.295129
215.360145,5.351677
215.459138,5.383674
215.577062,5.417632
215.673008,5.441823
216.32494,5.519663
216.32494,5.519663
217.160019,5.39314
217.231394,5.371107
217.387172,5.3174
217.486165,5.279417
217.604089,5.230449
