wavenumber,intensity
3923.5,-0.0045
3923.25,-0.0045
3923,-0.0046
3922.75,-0.0046
3922.5,-0.0046
3922.25,-0.0046
3922,-0.0045
3921.75,-0.0045
3921.5,-0.0045
3921.25,-0.0045
3921,-0.0045
3920.75,-0.0045
3920.5,-0.0046
3920.25,-0.0046
3920,-0.0046
3919.75,-0.0046
3919.5,-0.0046
3919.25,-0.0046
3919,-0.0046
3918.75,-0.0046
3918.5,-0.0046
3918.25,-0.0047
3918,-0.0047
3917.75,-0.0046
3917.5,-0.0046
3917.25,-0.0046
3917,-0.0046
3916.75,-0.0046
3916.5,-0.0046
3916.25,-0.0046
3916,-0.0045
3915.75,-0.0045
3915.5,-0.0044
3915.25,-0.0043
3915,-0.0042
3914.75,-0.0041
3914.5,-0.0041
3914.25,-0.0041
3914,-0.004
3913.75,-0.004
3913.5,-0.0039
3913.25,-0.0037
3913,-0.0036
3912.75,-0.0035
3912.5,-0.0034
3912.25,-0.0033
3912,-0.0032
3911.75,-0.0032
3911.5,-0.0032
3911.25,-0.0031
3911,-0.0031
3910.75,-0.0031
3910.5,-0.0031
3910.25,-0.0031
3910,-0.003
3909.75,-0.003
3909.5,-0.003
3909.25,-0.003
3909,-0.003
3908.75,-0.003
3908.5,-0.003
3908.25,-0.0029
3908,-0.0029
3907.75,-0.0028
3907.5,-0.0028
3907.25,-0.0028
3907,-0.0028
3906.75,-0.0029
3906.5,-0.003
3906.25,-0.0031
3906,-0.0031
3905.75,-0.0033
3905.5,-0.0034
3905.25,-0.0035
3905,-0.0037
3904.75,-0.0038
3904.5,-0.0039
3904.25,-0.0039
3904,-0.0039
3903.75,-0.004
3903.5,-0.0041
3903.25,-0.0041
3903,-0.0042
3902.75,-0.0042
3902.5,-0.0043
3902.25,-0.0043
3902,-0.0043
3901.75,-0.0043
3901.5,-0.0043
3901.25,-0.0044
3901,-0.0044
3900.75,-0.0044
3900.5,-0.0044
3900.25,-0.0044
3900,-0.0043
3899.75,-0.0043
3899.5,-0.0043
3899.25,-0.0043
3899,-0.0043
3898.75,-0.0044
3898.5,-0.0043
3898.25,-0.0043
3898,-0.0042
3897.75,-0.004
3897.5,-0.0039
3897.25,-0.0038
3897,-0.0036
3896.75,-0.0035
3896.5,-0.0035
3896.25,-0.0034
3896,-0.0033
3895.75,-0.0032
3895.5,-0.0032
3895.25,-0.0031
3895,-0.003
3894.75,-0.003
3894.5,-0.0029
3894.25,-0.0029
3894,-0.0028
3893.75,-0.0028
3893.5,-0.0027
3893.25,-0.0026
3893,-0.0025
3892.75,-0.0025
3892.5,-0.0025
3892.25,-0.0025
3892,-0.0026
3891.75,-0.0027
3891.5,-0.0027
3891.25,-0.0028
3891,-0.0028
3890.75,-0.0028
3890.5,-0.0028
3890.25,-0.0028
3890,-0.0028
3889.75,-0.0027
3889.5,-0.0026
3889.25,-0.0025
3889,-0.0025
3888.75,-0.0024
3888.5,-0.0024
3888.25,-0.0023
3888,-0.0023
3887.75,-0.0023
3887.5,-0.0024
3887.25,-0.0025
3887,-0.0026
3886.75,-0.0027
3886.5,-0.0028
3886.25,-0.0029
3886,-0.003
3885.75,-0.0031
3885.5,-0.0031
3885.25,-0.0031
3885,-0.0032
3884.75,-0.0033
3884.5,-0.0033
3884.25,-0.0034
3884,-0.0033
3883.75,-0.0033
3883.5,-0.0032
3883.25,-0.0031
3883,-0.0031
3882.75,-0.0031
3882.5,-0.0032
3882.25,-0.0032
3882,-0.0032
3881.75,-0.0032
3881.5,-0.0032
3881.25,-0.0032
3881,-0.0033
3880.75,-0.0033
3880.5,-0.0034
3880.25,-0.0035
3880,-0.0034
3879.75,-0.0034
3879.5,-0.0035
3879.25,-0.0035
3879,-0.0035
3878.75,-0.0034
3878.5,-0.0033
3878.25,-0.0031
3878,-0.0029
3877.75,-0.0027
3877.5,-0.0026
3877.25,-0.0026
3877,-0.0027
3876.75,-0.0028
3876.5,-0.0028
3876.25,-0.0029
3876,-0.0029
3875.75,-0.0029
3875.5,-0.003
3875.25,-0.0031
3875,-0.0033
3874.75,-0.0034
3874.5,-0.0035
3874.25,-0.0035
3874,-0.0034
3873.75,-0.0033
3873.5,-0.0032
3873.25,-0.0032
3873,-0.0031
3872.75,-0.0031
3872.5,-0.0031
3872.25,-0.0031
3872,-0.0032
3871.75,-0.0033
3871.5,-0.0034
3871.25,-0.0034
3871,-0.0035
3870.75,-0.0037
3870.5,-0.0039
3870.25,-0.0041
3870,-0.0042
3869.75,-0.0043
3869.5,-0.0043
3869.25,-0.0043
3869,-0.0041
3868.75,-0.0039
3868.5,-0.0038
3868.25,-0.0036
3868,-0.0035
3867.75,-0.0034
3867.5,-0.0033
3867.25,-0.0032
3867,-0.0031
3866.75,-0.0031
3866.5,-0.003
3866.25,-0.0029
3866,-0.0029
3865.75,-0.003
3865.5,-0.0032
3865.25,-0.0034
3865,-0.0035
3864.75,-0.0035
3864.5,-0.0035
3864.25,-0.0035
3864,-0.0035
3863.75,-0.0035
3863.5,-0.0036
3863.25,-0.0036
3863,-0.0036
3862.75,-0.0035
3862.5,-0.0034
3862.25,-0.0032
3862,-0.0031
3861.75,-0.0031
3861.5,-0.0032
3861.25,-0.0032
3861,-0.0032
3860.75,-0.0031
3860.5,-0.0031
3860.25,-0.003
3860,-0.0029
3859.75,-0.0029
3859.5,-0.0029
3859.25,-0.003
3859,-0.003
3858.75,-0.003
3858.5,-0.0029
3858.25,-0.0029
3858,-0.0028
3857.75,-0.0028
3857.5,-0.0028
3857.25,-0.0029
3857,-0.003
3856.75,-0.0031
3856.5,-0.0033
3856.25,-0.0034
3856,-0.0034
3855.75,-0.0034
3855.5,-0.0034
3855.25,-0.0036
3855,-0.0038
3854.75,-0.004
3854.5,-0.0041
3854.25,-0.0045
3854,-0.0049
3853.75,-0.0051
3853.5,-0.0051
3853.25,-0.0051
3853,-0.0054
3852.75,-0.0057
3852.5,-0.006
3852.25,-0.0062
3852,-0.0061
3851.75,-0.0058
3851.5,-0.0054
3851.25,-0.0051
3851,-0.0048
3850.75,-0.0047
3850.5,-0.0047
3850.25,-0.0048
3850,-0.0049
3849.75,-0.0048
3849.5,-0.0047
3849.25,-0.0045
3849,-0.0043
3848.75,-0.0042
3848.5,-0.0041
3848.25,-0.004
3848,-0.0039
3847.75,-0.0038
3847.5,-0.0037
3847.25,-0.0036
3847,-0.0035
3846.75,-0.0034
3846.5,-0.0033
3846.25,-0.0032
3846,-0.0031
3845.75,-0.0031
3845.5,-0.0031
3845.25,-0.0031
3845,-0.0032
3844.75,-0.0034
3844.5,-0.0036
3844.25,-0.0038
3844,-0.0039
3843.75,-0.004
3843.5,-0.0039
3843.25,-0.0039
3843,-0.0038
3842.75,-0.0038
3842.5,-0.0038
3842.25,-0.0038
3842,-0.0038
3841.75,-0.0037
3841.5,-0.0037
3841.25,-0.0037
3841,-0.0038
3840.75,-0.004
3840.5,-0.0042
3840.25,-0.0044
3840,-0.0046
3839.75,-0.0046
3839.5,-0.0047
3839.25,-0.0048
3839,-0.0049
3838.75,-0.0049
3838.5,-0.005
3838.25,-0.0049
3838,-0.0049
3837.75,-0.0049
3837.5,-0.0048
3837.25,-0.0049
3837,-0.0049
3836.75,-0.005
3836.5,-0.0049
3836.25,-0.0048
3836,-0.0047
3835.75,-0.0046
3835.5,-0.0047
3835.25,-0.0048
3835,-0.0049
3834.75,-0.0049
3834.5,-0.0048
3834.25,-0.0047
3834,-0.0045
3833.75,-0.0045
3833.5,-0.0044
3833.25,-0.0044
3833,-0.0045
3832.75,-0.0045
3832.5,-0.0045
3832.25,-0.0045
3832,-0.0043
3831.75,-0.0042
3831.5,-0.004
3831.25,-0.0039
3831,-0.0038
3830.75,-0.0037
3830.5,-0.0036
3830.25,-0.0035
3830,-0.0033
3829.75,-0.0032
3829.5,-0.0031
3829.25,-0.0031
3829,-0.0032
3828.75,-0.0034
3828.5,-0.0036
3828.25,-0.0036
3828,-0.0036
3827.75,-0.0034
3827.5,-0.0033
3827.25,-0.0032
3827,-0.0032
3826.75,-0.0032
3826.5,-0.0032
3826.25,-0.0032
3826,-0.003
3825.75,-0.0028
3825.5,-0.0026
3825.25,-0.0025
3825,-0.0026
3824.75,-0.0027
3824.5,-0.0028
3824.25,-0.0028
3824,-0.0029
3823.75,-0.0029
3823.5,-0.0029
3823.25,-0.0028
3823,-0.0028
3822.75,-0.0028
3822.5,-0.0028
3822.25,-0.0028
3822,-0.0029
3821.75,-0.003
3821.5,-0.0031
3821.25,-0.0032
3821,-0.0032
3820.75,-0.0031
3820.5,-0.0031
3820.25,-0.0033
3820,-0.0034
3819.75,-0.0036
3819.5,-0.0036
3819.25,-0.0036
3819,-0.0034
3818.75,-0.0033
3818.5,-0.0031
3818.25,-0.003
3818,-0.0031
3817.75,-0.0032
3817.5,-0.0033
3817.25,-0.0033
3817,-0.0032
3816.75,-0.0032
3816.5,-0.0032
3816.25,-0.0033
3816,-0.0034
3815.75,-0.0035
3815.5,-0.0035
3815.25,-0.0035
3815,-0.0035
3814.75,-0.0034
3814.5,-0.0031
3814.25,-0.0028
3814,-0.0027
3813.75,-0.0026
3813.5,-0.0028
3813.25,-0.003
3813,-0.0031
3812.75,-0.0031
3812.5,-0.003
3812.25,-0.0029
3812,-0.0028
3811.75,-0.0026
3811.5,-0.0025
3811.25,-0.0025
3811,-0.0025
3810.75,-0.0026
3810.5,-0.0025
3810.25,-0.0024
3810,-0.0022
3809.75,-0.0022
3809.5,-0.0021
3809.25,-0.0022
3809,-0.0024
3808.75,-0.0025
3808.5,-0.0027
3808.25,-0.0029
3808,-0.003
3807.75,-0.0032
3807.5,-0.0033
3807.25,-0.0033
3807,-0.0034
3806.75,-0.0034
3806.5,-0.0036
3806.25,-0.0037
3806,-0.0037
3805.75,-0.0037
3805.5,-0.0035
3805.25,-0.0034
3805,-0.0033
3804.75,-0.0033
3804.5,-0.0033
3804.25,-0.0033
3804,-0.0033
3803.75,-0.0033
3803.5,-0.0032
3803.25,-0.0031
3803,-0.003
3802.75,-0.0031
3802.5,-0.0032
3802.25,-0.0035
3802,-0.0037
3801.75,-0.0038
3801.5,-0.0038
3801.25,-0.0037
3801,-0.0036
3800.75,-0.0037
3800.5,-0.0037
3800.25,-0.0037
3800,-0.0037
3799.75,-0.0035
3799.5,-0.0033
3799.25,-0.0031
3799,-0.0029
3798.75,-0.0028
3798.5,-0.0027
3798.25,-0.0027
3798,-0.0028
3797.75,-0.0029
3797.5,-0.003
3797.25,-0.0031
3797,-0.0031
3796.75,-0.0032
3796.5,-0.0032
3796.25,-0.0032
3796,-0.0033
3795.75,-0.0033
3795.5,-0.0034
3795.25,-0.0033
3795,-0.0031
3794.75,-0.0029
3794.5,-0.0027
3794.25,-0.0025
3794,-0.0024
3793.75,-0.0025
3793.5,-0.0025
3793.25,-0.0025
3793,-0.0026
3792.75,-0.0026
3792.5,-0.0027
3792.25,-0.0027
3792,-0.0028
3791.75,-0.0028
3791.5,-0.0028
3791.25,-0.0027
3791,-0.0026
3790.75,-0.0026
3790.5,-0.0026
3790.25,-0.0026
3790,-0.0026
3789.75,-0.0025
3789.5,-0.0024
3789.25,-0.0024
3789,-0.0023
3788.75,-0.0023
3788.5,-0.0024
3788.25,-0.0024
3788,-0.0025
3787.75,-0.0025
3787.5,-0.0025
3787.25,-0.0025
3787,-0.0025
3786.75,-0.0025
3786.5,-0.0026
3786.25,-0.0026
3786,-0.0027
3785.75,-0.0027
3785.5,-0.0027
3785.25,-0.0027
3785,-0.0028
3784.75,-0.0028
3784.5,-0.0029
3784.25,-0.0029
3784,-0.003
3783.75,-0.003
3783.5,-0.003
3783.25,-0.003
3783,-0.003
3782.75,-0.003
3782.5,-0.003
3782.25,-0.003
3782,-0.0031
3781.75,-0.0031
3781.5,-0.0031
3781.25,-0.0032
3781,-0.0033
3780.75,-0.0034
3780.5,-0.0035
3780.25,-0.0035
3780,-0.0036
3779.75,-0.0037
3779.5,-0.0037
3779.25,-0.0037
3779,-0.0038
3778.75,-0.0038
3778.5,-0.0038
3778.25,-0.0039
3778,-0.0039
3777.75,-0.0039
3777.5,-0.0039
3777.25,-0.0038
3777,-0.0038
3776.75,-0.0038
3776.5,-0.0038
3776.25,-0.0038
3776,-0.0037
3775.75,-0.0037
3775.5,-0.0036
3775.25,-0.0036
3775,-0.0035
3774.75,-0.0035
3774.5,-0.0035
3774.25,-0.0034
3774,-0.0034
3773.75,-0.0034
3773.5,-0.0033
3773.25,-0.0033
3773,-0.0033
3772.75,-0.0033
3772.5,-0.0033
3772.25,-0.0034
3772,-0.0034
3771.75,-0.0034
3771.5,-0.0033
3771.25,-0.0034
3771,-0.0034
3770.75,-0.0035
3770.5,-0.0036
3770.25,-0.0037
3770,-0.0037
3769.75,-0.0038
3769.5,-0.0039
3769.25,-0.004
3769,-0.004
3768.75,-0.0039
3768.5,-0.0038
3768.25,-0.0038
3768,-0.0037
3767.75,-0.0037
3767.5,-0.0036
3767.25,-0.0036
3767,-0.0036
3766.75,-0.0035
3766.5,-0.0035
3766.25,-0.0035
3766,-0.0036
3765.75,-0.0036
3765.5,-0.0036
3765.25,-0.0036
3765,-0.0036
3764.75,-0.0035
3764.5,-0.0034
3764.25,-0.0033
3764,-0.0032
3763.75,-0.0031
3763.5,-0.003
3763.25,-0.0029
3763,-0.0028
3762.75,-0.0027
3762.5,-0.0027
3762.25,-0.0026
3762,-0.0025
3761.75,-0.0024
3761.5,-0.0024
3761.25,-0.0024
3761,-0.0024
3760.75,-0.0024
3760.5,-0.0024
3760.25,-0.0024
3760,-0.0024
3759.75,-0.0023
3759.5,-0.0023
3759.25,-0.0023
3759,-0.0022
3758.75,-0.0022
3758.5,-0.0021
3758.25,-0.002
3758,-0.0019
3757.75,-0.0018
3757.5,-0.0017
3757.25,-0.0017
3757,-0.0016
3756.75,-0.0015
3756.5,-0.0014
3756.25,-0.0013
3756,-0.0012
3755.75,-0.0011
3755.5,-0.0011
3755.25,-9.00E-04
3755,-8.00E-04
3754.75,-7.00E-04
3754.5,-6.00E-04
3754.25,-6.00E-04
3754,-6.00E-04
3753.75,-6.00E-04
3753.5,-7.00E-04
3753.25,-8.00E-04
3753,-8.00E-04
3752.75,-9.00E-04
3752.5,-0.0011
3752.25,-0.0014
3752,-0.0016
3751.75,-0.0017
3751.5,-0.0018
3751.25,-0.0019
3751,-0.002
3750.75,-0.0021
3750.5,-0.0023
3750.25,-0.0024
3750,-0.0025
3749.75,-0.0026
3749.5,-0.0028
3749.25,-0.0029
3749,-0.003
3748.75,-0.003
3748.5,-0.003
3748.25,-0.003
3748,-0.0029
3747.75,-0.0028
3747.5,-0.0027
3747.25,-0.0026
3747,-0.0025
3746.75,-0.0025
3746.5,-0.0025
3746.25,-0.0026
3746,-0.0028
3745.75,-0.0029
3745.5,-0.003
3745.25,-0.0031
3745,-0.0031
3744.75,-0.0034
3744.5,-0.0037
3744.25,-0.0039
3744,-0.004
3743.75,-0.004
3743.5,-0.0039
