wavenumber,intensity
104.325796,0.210231
104.522541,0.215264
104.692705,0.219764
105.248386,0.23525
105.502764,0.242648
105.520228,0.243161
105.900685,0.254431
105.999678,0.257378
106.328528,0.267126
106.352823,0.26784
106.549568,0.273577
107.232318,0.292284
107.275413,0.293373
107.547255,0.299901
107.927712,0.307855
107.964352,0.308537
108.026705,0.30966
108.37985,0.315077
108.576595,0.317339
108.961871,0.320046
109.30244,0.32043
109.574282,0.31935
109.600175,0.319183
109.954739,0.315803
110.053732,0.314505
110.406877,0.308698
110.603622,0.304721
110.691425,0.302789
111.235999,0.288941
111.329467,0.286286
111.601309,0.278199
111.981766,0.266156
112.080759,0.262919
112.420978,0.251581
112.433904,0.251146
112.630649,0.244493
112.871822,0.236309
113.356494,0.219981
113.628336,0.211008
114.008794,0.198805
114.107786,0.195712
114.150532,0.194387
114.460931,0.184991
114.507646,0.183612
114.657676,0.179251
115.383521,0.159672
115.655363,0.153028
115.880085,0.147829
116.035821,0.144382
116.134814,0.142257
116.143469,0.142074
116.487958,0.135098
116.684703,0.13139
117.410548,0.119393
117.609639,0.116545
117.68239,0.115549
117.779293,0.11426
118.062848,0.110723
118.161841,0.109569
118.514985,0.105773
118.71173,0.103867
119.339192,0.098695
119.415116,0.098156
119.437575,0.098
119.709417,0.096229
120.089875,0.094094
120.188868,0.093599
120.542012,0.092023
120.738757,0.091265
121.05094,0.090222
121.068746,0.090168
121.464602,0.089116
121.736444,0.088542
122.116902,0.087922
122.215895,0.087793
122.569039,0.087434
122.765784,0.087297
122.798299,0.087278
123.241719,0.087136
123.491629,0.087141
123.763471,0.08721
124.143929,0.087412
124.242922,0.087484
124.527853,0.087733
124.596066,0.087801
124.792811,0.088018
125.518656,0.089051
125.790498,0.089529
126.170956,0.090279
126.257406,0.090462
126.269949,0.090489
126.623094,0.091291
126.819838,0.091772
127.545683,0.093763
127.817525,0.094596
127.98696,0.095141
128.197983,0.095845
128.296976,0.096186
128.4149,0.096601
128.650121,0.097458
128.846865,0.098204
129.57271,0.1012
129.844552,0.102425
130.22501,0.104238
130.324003,0.104729
130.441927,0.105325
130.677148,0.106549
130.873892,0.107609
131.599737,0.111832
131.871579,0.113546
132.252037,0.116075
132.35103,0.116759
132.468954,0.117589
132.704175,0.119291
132.900919,0.120765
133.626764,0.126635
133.898606,0.129021
134.279064,0.132551
134.378057,0.133508
134.495981,0.134669
134.731202,0.137058
134.927946,0.139135
135.653791,0.147476
135.925634,0.150908
136.306091,0.156035
136.405084,0.157436
136.523008,0.159144
136.758229,0.162682
136.954974,0.165785
137.680818,0.178542
137.952661,0.183937
138.333118,0.192161
138.432111,0.194443
138.550035,0.197246
138.785256,0.203124
138.982001,0.208358
139.707845,0.230619
139.979688,0.240364
140.360145,0.255557
140.459138,0.259838
140.577062,0.26513
140.812283,0.276344
141.009028,0.286448
141.32494,0.30419
141.734872,0.330336
142.006715,0.349863
142.387172,0.380494
142.486165,0.389148
142.604089,0.399849
142.83931,0.422526
143.036055,0.44293
143.351967,0.478623
143.761899,0.530763
144.033742,0.569258
144.414199,0.628781
144.513192,0.645399
144.631116,0.665826
144.866337,0.708662
145.063082,0.746685
145.378994,0.812037
145.788926,0.904945
146.060769,0.971689
146.441226,1.071994
146.540219,1.099401
146.658143,1.132743
146.893364,1.201473
147.090109,1.261176
147.406021,1.361071
147.815954,1.497496
148.087796,1.591674
148.468253,1.727474
148.567246,1.763413
148.68517,1.80647
148.920391,1.892941
149.117136,1.965571
149.433048,2.08191
149.842981,2.230126
150.114823,2.325001
150.49528,2.45048
150.594273,2.481333
150.712197,2.51694
150.947418,2.583798
151.144163,2.634902
151.460075,2.706373
151.870008,2.776733
152.14185,2.807777
152.522307,2.828636
152.6213,2.829616
152.739224,2.828367
152.974445,2.818068
153.17119,2.801595
153.487102,2.760773
153.897035,2.683476
154.052148,2.647794
154.168877,2.618846
154.549334,2.513429
154.648327,2.483559
154.766251,2.446842
155.001472,2.37036
155.198217,2.303601
155.514129,2.192406
155.924062,2.043495
156.195904,1.943507
156.576361,1.80392
156.675354,1.767903
156.793278,1.72525
157.028499,1.641186
157.225244,1.572132
157.541156,1.464146
157.951089,1.330257
158.222931,1.245841
158.603388,1.134053
158.702381,1.106231
158.820305,1.073784
159.055526,1.011349
159.252271,0.961484
159.568183,0.885923
159.978116,0.79609
160.249958,0.741533
160.630415,0.671666
160.729408,0.654689
160.847332,0.635094
161.082553,0.598003
161.279298,0.568953
161.59521,0.525891
162.005143,0.476173
162.276985,0.446747
162.657442,0.409885
162.756435,0.401064
162.874359,0.390948
163.10958,0.371981
163.306325,0.357289
163.622237,0.335753
164.03217,0.311212
164.304012,0.296819
164.684469,0.278886
164.783462,0.274604
164.901386,0.269695
165.333352,0.253342
165.649264,0.242831
166.059197,0.230749
166.331039,0.223583
166.711496,0.214536
166.810489,0.212351
166.928414,0.209832
167.360379,0.201323
167.676291,0.195737
168.086224,0.189179
168.358066,0.185212
168.738523,0.180109
168.837516,0.17886
168.955441,0.177413
169.387406,0.172457
169.703318,0.169149
170.113251,0.165214
170.385093,0.162809
170.76555,0.159694
170.864543,0.158929
170.982468,0.158041
171.414433,0.154997
171.730345,0.152968
172.140278,0.150566
172.41212,0.14911
172.792577,0.147246
172.89157,0.146793
